No,Style,Shape,Keywords,Fits,Best For,Do Not Use For,Mood,Palette ID,Font Pairing ID,Radius,Motion,Section Order,Imagery Direction,Copy Angle
1,Trade Bold,local-service,"heavy, industrial, contractor, roofing, hvac, towing, concrete, demolition, blue collar, rugged, high contrast, masculine","roofing, HVAC, concrete, paving, demolition, towing, fencing, excavation, welding","Trades where the buyer wants to see weight, equipment, and a crew that actually shows up.","Med spas, salons, therapists, anything where softness is the sell.","Heavy, loud, plain-spoken.",P01,F01,0px,"None past a 150ms hover darken. No scroll reveals, no counters.","1. Hero: result headline + phone button, 2. Proof strip: years, license, insurance, area, 3. Services 3-6 with price bands, 4. The work: before and after on the same house, 5. How it works in 3 steps, 6. Reviews with names and neighbourhoods, 7. Service area, 8. Money section: call or request the quote, 9. FAQ, 10. Footer with hours, address, phone","Real crew and equipment photos, wide shots, hard shadows. No stock handshake, no hard hat on a white background.","Name the job and the price band in the hero. Sell the finished roof, not the crew."
2,Clinic Calm,local-service,"dentist, med spa, physio, chiro, optometry, vet, therapy, wellness, clinic, calm, clean, trust, nervous patient","dental, med spa, physiotherapy, chiropractic, optometry, veterinary, counselling, audiology","Health services where the buyer is nervous and wants to feel handled.","Trades, gyms, anything that sells intensity or speed.","Quiet, warm, unhurried.",P02,F02,8px,"200ms fades on section entry, one at a time. Nothing bounces, nothing slides in from the side.","1. Hero: the outcome + book button, 2. Trust strip: years, credentials, insurance accepted, 3. Treatments with who each is for, 4. Meet the practitioner with a real portrait, 5. What the first visit is like, 6. Reviews with first names, 7. Money section: book online or call, 8. FAQ answering cost and pain, 9. Footer with hours, parking, address","Real room photos in natural light, one calm portrait of the practitioner. No smiling stock model in scrubs.","Name the fear and answer it. Sell the appointment that goes fine, not the equipment brand."
3,Detail Gloss,local-service,"auto detailing, ceramic coating, ppf, car wash, tint, wrap, dark, glossy, reflective, before after, paint","auto detailing, ceramic coating, paint protection film, window tint, vehicle wrap, mobile car wash","Work whose whole value is a wet, reflective finish you can photograph.","Clinics, family services, anything that needs daylight warmth.","Dark, glossy, precise.",P03,F03,4px,"One slow before-and-after wipe on the hero. Nothing else moves.","1. Hero: before-and-after wipe + book button, 2. Packages, 3 tiers with prices, 3. The process in 4 steps, 4. Gallery grouped by vehicle, 5. Reviews, 6. Service area and mobile radius, 7. Money section: pick a package and a date, 8. FAQ on cure time and care, 9. Footer","Dark garage, one hard light source, reflections on paint. Same car in both halves of every before and after.","Sell the paint that still looks like that in two years."
4,Iron Room,local-service,"gym, crossfit, boxing, mma, personal training, bootcamp, strength, loud, athletic, community","gym, CrossFit box, boxing gym, personal training studio, martial arts, bootcamp","Rooms that sell effort and belonging.","Clinics, salons, professional services.","Loud, physical, tribal.",P04,F04,2px,"Fast 120ms hovers and one marquee of class names. No parallax, no counting numbers.","1. Hero: the room + free week button, 2. Class schedule, 3. Memberships, 2-3 tiers with prices, 4. Coaches with real names, 5. Member results with names and photos, 6. What the first visit looks like, 7. Money section: claim the free week, 8. FAQ, 9. Footer with address, hours, parking","Sweat, chalk, real members mid-set, shot from low. No posed model on a white background.","Sell the free first week and the room. Nobody buys an equipment list."
5,Salon Quiet,local-service,"salon, barber, lash, nails, brows, aesthetics, spa, hair, soft, editorial, warm, taste","hair salon, barbershop, lash studio, nail salon, brow bar, esthetics, massage","Beauty work sold on taste and a specific look.","Trades, gyms, legal, anything sold on speed.","Soft, editorial, expensive.",P05,F05,0px,"250ms crossfades in the gallery. Nothing else.","1. Hero: one finished look + book button, 2. Services with price ranges, 3. Gallery of real client work, 4. The stylists, 5. Reviews, 6. Money section: book online, 7. Policies and cancellation, 8. Footer with hours and address","Close crops of finished hair, nails and skin. One chair, one window, real texture. No filtered stock face.","Sell the look the client walks out with. Print the price ranges instead of hiding them."
6,Table Warm,local-service,"restaurant, cafe, bakery, catering, food truck, bar, menu, warm, appetite, neighbourhood","restaurant, cafe, bakery, caterer, food truck, bar, private chef","Food where the photo does the selling and the menu has to be readable on a phone.","Clinics, legal, technical services.","Warm, hungry, neighbourhood.",P06,F06,4px,"None. Menus must never animate.","1. Hero: one food shot + hours + order button, 2. Menu as real text, never a PDF, 3. The room, 4. Reviews, 5. Location, hours and map, 6. Money section: order, reserve, or call, 7. Footer","Overhead food shots on the real table, one room shot with people in it, one of the owner. No glossy stock burger.","Hours, address and the order button above the fold. Sell the table, not the chef biography."
7,Ledger,local-service,"accountant, bookkeeper, lawyer, insurance, financial advisor, notary, tax, formal, trust, credential","accounting, bookkeeping, law, insurance brokerage, financial advice, notary, tax prep","Professional services where the buyer is checking whether you are a real firm.","Gyms, food, anything sold on feeling.","Formal, plain, credentialed.",P07,F07,2px,"None.","1. Hero: outcome headline + book a call, 2. Credentials strip, 3. Services with who each is for, 4. Case results with real numbers, 5. Process and timeline, 6. About with a real portrait, 7. Money section: book the consult, 8. FAQ on fees, 9. Footer with registration numbers","One real portrait, one office shot, the credential marks. No gavel, no stock city skyline.","Lead with the outcome and the credential. Sell the money kept, not the software used."
8,Green Route,local-service,"landscaping, lawn care, tree service, pest control, pool, snow removal, seasonal, outdoor, route, recurring","landscaping, lawn care, tree service, pest control, pool service, snow removal, irrigation","Recurring outdoor work sold by season and by route.","Indoor clinical services, professional offices.","Outdoor, seasonal, dependable.",P08,F08,6px,"One 200ms fade per section.","1. Hero: the finished yard + get a quote, 2. Proof strip: years, insurance, area, 3. Seasonal plans with prices, 4. Before and after from the same spot, 5. Service area by neighbourhood, 6. Reviews, 7. Money section: request the seasonal quote, 8. FAQ, 9. Footer","The same yard before and after, shot from the same spot. The truck with the logo on it. No drone stock.","Sell the yard that stays done. Price by season, not by the hour."
9,Front Desk,local-service,"real estate, mortgage, property management, movers, storage, relocation, editorial, warm professional, person-led","real estate agent, mortgage broker, property manager, moving company, storage, relocation","High-ticket local services where the buyer is picking a person, not a company.","Trades sold on price, food.","Editorial, warm, professional.",P09,F09,2px,"200ms image reveals in the listing grid. Nothing on the hero.","1. Hero: portrait + market claim + book a call, 2. Recent results with real numbers, 3. What you get, split by seller and buyer, 4. Testimonials with full names, 5. Neighbourhood guide or current listings, 6. Money section: book the valuation, 7. FAQ, 8. Footer","Real property photos and one strong portrait. No stock keys-in-hand shot.","Sell the sold sign and the days on market. The person is the product, so the portrait is the hero."
10,Studio Mono,local-service,"photographer, videographer, designer, creative studio, wedding, architect, portfolio, minimal, gallery, quiet","photography, videography, design studio, wedding services, architecture, interior design","Work where the portfolio is the argument and the layout has to get out of the way.","Pages that need a loud money section. Ad landing pages.","Quiet, confident, gallery.",P10,F10,0px,"300ms fade on image load. The cursor stays normal.","1. Hero: one full-bleed piece + name and discipline, 2. Selected work, 3-8 pieces, 3. Client list, 4. About with a portrait, 5. Money section: one enquiry form, 6. Footer","The work at full bleed, never cropped into a card. One portrait at the end.","Fewest words on the whole site. Sell the finished piece, not the camera or the software."
