Palette ID,Palette Name,Surface,Raised,Ink,Muted,Accent,Text On Accent,Mode,Notes
P01,Amber Yard,#F4F1EC,#E5E0D6,#14161A,#5E6269,#F2A20C,#14161A,light,"Amber is the only loud colour on the page. One button per screen gets it and nothing else does."
P02,Teal Room,#FBFAF7,#EDF1EE,#16211F,#616F6B,#0E6E62,#FFFFFF,light,"Teal clears 5.5:1 with white text. Keep it off large fills. Buttons and one rule line only."
P03,Wet Black,#0B0D10,#14181D,#F2F5F8,#8A939D,#3FA9F5,#0B0D10,dark,"Dark surface, so Ink is the text colour. Ice blue on the book button and the active gallery dot, nowhere else."
P04,Chalk Acid,#101114,#1A1C21,#F5F3EE,#8B8D94,#C9DB2E,#101114,dark,"Acid yellow on near-black. One button, one active state. Never as body text."
P05,Clay Bone,#F7F3EF,#EDE4DC,#2B221D,#736256,#9A5B3D,#FFFFFF,light,"Clay clears 5:1 with white text. Let the photos carry the rest of the colour."
P06,Brick Cream,#FDF8F0,#F2E7D6,#241C14,#76644F,#A8341F,#FFFFFF,light,"Food photography supplies the colour, so the interface stays plain. Brick on the order button."
P07,Navy Paper,#FFFFFF,#F1F4F8,#101827,#5B6779,#123A6B,#FFFFFF,light,"Navy is the only colour. No gradients. A 1px #E2E7EE rule is allowed for tables and pricing rows."
P08,Forest Bone,#FBFAF5,#E9EEE2,#1A2114,#616D57,#2E6B2A,#FFFFFF,light,"Forest green on bone. The work is seasonal, so the palette should not be. Keep it the same all year."
P09,Brass Stone,#FCFAF7,#EFEAE2,#16202B,#5E6977,#8A6A2F,#FFFFFF,light,"Brass on rules and one button. The property photos are the colour."
P10,Ochre Gallery,#FFFFFF,#F2F1EE,#0C0C0C,#6F6C66,#A85C13,#FFFFFF,light,"Near monochrome on purpose. The ochre appears twice on the whole site at most."
P11,Blue Van,#FFFFFF,#EDF2F7,#0F1720,#5A6672,#C24A16,#FFFFFF,light,"Cool grey surfaces, warm orange action. The phone link uses Ink, the button uses Accent."
P12,Electric Paper,#FAFAF8,#ECEEF2,#0B0B0C,#676B71,#1F3FE8,#FFFFFF,light,"One electric blue. Links get it and the subscribe button gets it. Nothing else."
P13,Print Red,#FBF9F4,#F0EBE0,#111111,#6E6A62,#B3231F,#FFFFFF,light,"A print red, not a web red. Kicker text and the subscribe button only."
P14,Olive Log,#F6F5F1,#E7E6DF,#17181A,#646661,#4E6B2F,#FFFFFF,light,"Olive reads as working, not corporate. Code and numbers stay in Ink."
P15,Go Green,#FFFFFF,#F3F5F4,#0D1211,#5C6664,#0E7C4A,#FFFFFF,light,"Green means go, and nothing else on the page is green. Test the button colour against a control before you change it."
P16,Violet Night,#08070B,#131220,#F3F1FA,#918CA6,#5B3FE0,#FFFFFF,dark,"Dark surface, violet action, Ink as the text colour. Do not add a second gradient."
