No,Trade,Shape,Style Shortlist,Buys This Result,Never Sell This,Proof Asset,Money Shape,Local Signals,Watch Out
1,Auto detailing,local-service,"Detail Gloss, Trade Bold","Paint that still looks wet two years from now, and a booked bay on Saturday.","The polisher brand, the number of steps, the chemistry.","Before and after of the same car from the same angle, six pairs minimum.","Build $1,500 to $2,500, then $200 to $400 a month for photos, reviews and offer swaps.","Mobile radius, insurance, brands of coating carried, warranty length.","Owners want to list every package tier. Cap it at three or the page stops converting."
2,Ceramic coating and PPF,local-service,"Detail Gloss","A car that survives winter salt and resells higher.","Micron thickness, brand certifications, the installer's training.","A close crop of a coated panel next to an uncoated one, same light.","Build $1,500 to $3,000, then $250 to $500 a month.","Warranty registration, certified installer badge, indoor bay.","Warranty language has to be exact. Copy the manufacturer wording, do not paraphrase it."
3,Plumbing,local-service,"Local Trust, Trade Bold","A working drain today, at a price agreed before the truck leaves.","The camera equipment, the truck stock list.","Photos of finished repairs and a live review count.","Build $1,500 to $2,500, then $150 to $350 a month.","License number, 24-hour line, service radius in kilometres or miles, insured.","The phone number must be tappable and pinned on mobile. Most plumbing sites bury it."
4,Electrical,local-service,"Local Trust, Trade Bold","A panel that passes inspection and a house that stops tripping.","Amperage specs, tool brands.","Permit-passed job photos with the panel labelled.","Build $1,500 to $2,500, then $150 to $350 a month.","License number, permit history, insured, ESA or local authority mark.","Show the licence number in the footer on every page. Buyers check it."
5,HVAC,local-service,"Trade Bold, Local Trust","A house that holds temperature through the worst week of the year.","SEER ratings and model numbers above the fold.","A seasonal tune-up plan with prices, plus install photos.","Build $1,500 to $3,000, then $250 to $500 a month with seasonal offer swaps.","Brands serviced, emergency hours, financing available, insured.","Two seasons, two offers. Build the page so the hero offer swaps in one file."
6,Roofing,local-service,"Trade Bold","A roof that stops the leak and holds for twenty years.","Shingle brand names in the hero.","Drone or ladder shots of the same roof before and after, plus the warranty.","Build $2,000 to $4,000, then $300 to $600 a month.","Insurance, workers compensation coverage, years in business, warranty length.","Storm season doubles traffic. The quote form has to work on a phone in a driveway."
7,Concrete and paving,local-service,"Trade Bold","A driveway that does not crack in the third winter.","Mix ratios, equipment lists.","Same-driveway before and after, plus a cure timeline.","Build $1,500 to $3,000, then $200 to $400 a month.","Insured, years, service radius, finish types offered.","Photos are usually terrible. Reshoot two jobs before you build the page."
8,Fencing and decks,local-service,"Trade Bold, Green Route","A finished yard that the neighbours ask about.","Lumber grades and fastener types.","A gallery grouped by style, with a price per linear foot band.","Build $1,500 to $2,500, then $150 to $350 a month.","Insured, permit handling, material warranty, area.","Give a price per foot band. Hidden pricing kills the quote rate in this trade."
9,Landscaping,local-service,"Green Route","A yard that stays done without the owner thinking about it.","Plant Latin names, equipment.","The same yard before and after from the same spot, across two seasons.","Build $1,500 to $3,000, then $250 to $450 a month.","Seasonal plans, insured, area by neighbourhood, crew size.","Sell the season, not the visit. Recurring beats one-off on this page."
10,Lawn care,local-service,"Green Route","A green lawn on the schedule, billed the same amount every month.","Fertiliser blends.","A route map and a plan table with monthly prices.","Build $1,500 to $2,000, then $150 to $300 a month.","Weekly or biweekly schedule, area, insured, pet-safe products.","One table with three plans and a signup button. Nothing else converts here."
11,Tree service,local-service,"Green Route, Trade Bold","A dangerous tree gone, the yard clean, nothing damaged.","Crane specs and rigging technique.","Before and after with the clean-up visible, plus insurance proof.","Build $1,500 to $2,500, then $150 to $350 a month.","Liability coverage amount, arborist certification, emergency storm line.","Buyers are afraid of damage. Put the coverage amount in the hero proof strip."
12,Pest control,local-service,"Green Route, Local Trust","The problem gone and a guarantee that it stays gone.","Chemical names.","A treatment plan with the return-visit guarantee written out.","Build $1,500 to $2,200, then $200 to $400 a month.","Licensed applicator, pet and child safe, same-week availability, guarantee terms.","The guarantee is the offer. Put it in the H1, not in the FAQ."
13,Pool service,local-service,"Green Route, Clinic Calm","A pool that is always swimmable, without the owner testing anything.","Chemistry readings and pump brands.","A monthly plan table and a photo of a clean pool at the same house across months.","Build $1,500 to $2,500, then $200 to $400 a month.","Weekly schedule, area, insured, opening and closing dates.","Seasonal in most markets. Build a winter version of the hero before you hand it over."
14,House cleaning,local-service,"Local Trust, Clinic Calm","A house that is clean when they get home, by someone they trust alone in it.","Product brands and equipment.","A checklist of what is included, plus background-check language.","Build $1,500 to $2,200, then $150 to $350 a month.","Background checked, bonded and insured, recurring discount, area.","Give an instant price by bedroom count. Quote forms lose to price calculators here."
15,Junk removal,local-service,"Local Trust, Trade Bold","An empty garage today.","Truck sizes in cubic yards without a picture.","A load-size price chart with photos of each size.","Build $1,500 to $2,000, then $150 to $300 a month.","Same-day, disposal and recycling policy, insured, area.","Price by picture. A truck diagram with prices beats any paragraph."
16,Moving company,local-service,"Front Desk, Local Trust","Everything arrives unbroken and on the day promised.","Truck fleet size.","Reviews with move dates and a damage policy in plain words.","Build $1,500 to $3,000, then $250 to $450 a month.","Licensed and insured, hourly or flat rate, area, storage available.","Peak season is three months long. The quote form has to capture the date first."
17,Garage door repair,local-service,"Local Trust","A door that opens tonight.","Spring gauges and opener brands.","Same-day photos plus a flat price list for the five common repairs.","Build $1,500 to $2,200, then $150 to $300 a month.","Same-day, license, insured, brands serviced, area.","Emergency traffic is mobile and impatient. Anything past a 2 second load loses the call."
18,Appliance repair,local-service,"Local Trust","A fridge that runs again without buying a new one.","Parts catalogues.","Brands serviced grid and a flat diagnostic fee stated in the hero.","Build $1,500 to $2,000, then $150 to $300 a month.","Brands serviced, diagnostic fee, same-week booking, area.","List the brands as a grid. That grid is the whole search intent."
19,Locksmith,local-service,"Local Trust","Back inside the house in twenty minutes.","Lock cylinder types.","Response time promise plus licence and reviews.","Build $1,500 to $2,000, then $150 to $300 a month.","24-hour, licensed, bonded, response time, area.","Nothing but the phone number matters above the fold. Cut everything else."
20,Dental practice,local-service,"Clinic Calm","A visit that does not hurt and a bill they saw coming.","Chair brands and imaging technology.","New-patient offer, insurance list, and a real photo of the treatment room.","Build $2,500 to $5,000, then $400 to $800 a month.","Insurance accepted, new patient offer, emergency slots, parking, languages spoken.","Fear and cost are the two objections. Answer both above the fold."
21,Med spa,local-service,"Clinic Calm, Salon Quiet","The result on their own face, from someone qualified.","Device brand names in the hero.","Real before and after with consent, same lighting, no filters.","Build $2,500 to $5,000, then $400 to $800 a month.","Practitioner credentials, consultation offer, financing, area.","Before and after images carry legal rules in many places. Check the local rule before you publish."
22,Physiotherapy and chiropractic,local-service,"Clinic Calm","Back to training or back to work by a date.","Adjustment technique names.","A first-visit walkthrough and reviews naming the injury.","Build $2,000 to $4,000, then $300 to $600 a month.","Direct billing, credentials, same-week booking, parking.","Direct billing is the top question. Put the insurer list on the page, not in a PDF."
23,Veterinary clinic,local-service,"Clinic Calm","A pet that gets better and an owner who is not panicking.","Equipment lists.","Photos of the actual team with actual animals, plus emergency hours.","Build $2,000 to $4,000, then $300 to $600 a month.","Emergency hours, new client offer, species treated, parking.","Emergency hours belong in the header. Owners search at midnight."
24,Hair salon,local-service,"Salon Quiet","The look they saw and want to walk out with.","Product lines carried.","Twelve close crops of real client hair, shot in the salon.","Build $1,500 to $2,500, then $200 to $400 a month.","Price ranges by service and stylist level, booking link, cancellation policy.","Print the prices. Salons that hide pricing lose the booking to the one that shows it."
25,Barbershop,local-service,"Salon Quiet, Iron Room","A cut that holds for three weeks and a chair that is free now.","Clipper brands.","A gallery of finished cuts and a live booking link.","Build $1,500 to $2,000, then $150 to $300 a month.","Walk-in policy, price list, hours, barber names.","Booking software is the site. Build around the embed rather than beside it."
26,Lash and brow studio,local-service,"Salon Quiet","A face that looks done without makeup.","Adhesive brands and curl charts.","Close crops of real sets, before and after, same lighting.","Build $1,500 to $2,200, then $150 to $350 a month.","Price list, fill schedule, aftercare, certification.","Fill pricing is the retention lever. Give fills their own row in the price table."
27,Nail salon,local-service,"Salon Quiet","Hands that look right for the event on Saturday.","Gel brand names.","A grid of real sets, sorted by shape and length.","Build $1,500 to $2,000, then $150 to $300 a month.","Walk-in hours, price list, sanitation policy, booking link.","Sanitation is a real objection now. Put the policy on the page in plain words."
28,Massage therapy,local-service,"Clinic Calm, Salon Quiet","An hour that fixes the thing that hurts, covered by insurance.","Modality names without explanations.","A room photo, credentials, and a direct-billing list.","Build $1,500 to $2,500, then $200 to $400 a month.","Registered therapist number, direct billing, parking, evening hours.","Say what each modality treats in one sentence. Names alone mean nothing to the buyer."
29,Gym and CrossFit,local-service,"Iron Room","A room they belong in and a body that changes in twelve weeks.","Equipment lists and square footage.","Member results with names, faces and dates, plus a class schedule.","Build $1,500 to $3,000, then $250 to $500 a month.","Free trial week, class times, coach names, parking, drop-in rate.","The free trial button is the only money action. Do not compete with it."
30,Personal training,local-service,"Iron Room, Clinic Calm","A specific body change by a specific date, with someone watching.","Certification acronyms.","Three client transformations with timelines, plus a consult booking.","Build $1,500 to $2,500, then $200 to $400 a month.","Certification, in-person or online, session pricing, first session offer.","Sell the consult, not the package. Packages get bought on the call."
31,Restaurant,local-service,"Table Warm","A table on Friday and a menu they could read on the walk over.","Chef training history.","Eight overhead food shots on the real tables, plus one room shot with people.","Build $1,500 to $2,500, then $200 to $400 a month for menu and photo updates.","Hours, address with map, phone, reservation link, delivery links.","Never a PDF menu. Real text, readable at 375px, or the page fails."
32,Cafe and bakery,local-service,"Table Warm","A reason to walk in this morning and something to preorder for Sunday.","Bean origin stories above the fold.","Product shots that match what is in the case today, plus hours.","Build $1,500 to $2,000, then $150 to $350 a month.","Hours, address, order-ahead link, catering enquiry.","Hours change. Build the hours in one file so the swap takes a minute."
33,Caterer and food truck,local-service,"Table Warm","A fed event that nobody complains about.","Kitchen equipment.","Event photos with the spread laid out, plus package pricing per head.","Build $1,500 to $2,500, then $150 to $350 a month.","Minimum head count, service area, dietary options, booking calendar.","Price per head with a minimum. That one number decides the enquiry."
34,Accounting and bookkeeping,local-service,"Ledger","Money kept, filings on time, and nobody calling from the tax office.","Software brand logos as the main proof.","Case results with real dollar figures and a fixed monthly fee table.","Build $2,000 to $4,000, then $300 to $600 a month.","Designation, years, industries served, software supported, deadline calendar.","Fixed monthly pricing wins over hourly. If they have it, put it on the page."
35,Law practice,local-service,"Ledger","The matter closed, with a person who answers the phone.","Case law and legal jargon.","Practice areas with outcomes, plus a real portrait and bar admission.","Build $2,500 to $5,000, then $400 to $800 a month.","Bar admission, years, free consult policy, languages, area.","Advertising rules vary by jurisdiction. Read the local bar rule before writing outcome claims."
36,Real estate agent,local-service,"Front Desk","A house sold above list in fewer days than the area average.","MLS access and brokerage brand.","Recent sales with list price, sale price and days on market.","Build $2,000 to $4,000, then $300 to $600 a month with listing updates.","Brokerage, licence, area farmed, sold count, valuation offer.","The portrait is the hero. Book a real photographer before you build the page."
37,Mortgage broker,local-service,"Front Desk, Ledger","An approval that closes on time at a rate they can check.","Lender panel size.","Real closing stories with timelines, plus a rate table updated weekly.","Build $1,500 to $3,000, then $250 to $500 a month.","Licence number, lenders accessed, turnaround time, area.","Rate tables go stale fast. Build it as one file the client can update, or leave rates off."
38,Property management,local-service,"Front Desk, Ledger","Rent that lands every month without the owner getting a single call.","Software dashboards.","A fee table, a vacancy figure, and owner testimonials with unit counts.","Build $2,000 to $4,000, then $300 to $600 a month.","Units managed, fee percentage, vacancy rate, area, licence.","Two audiences share the page: owners and tenants. Split the nav at the top or lose both."
39,Photography,local-service,"Studio Mono","Photos they will still be proud of in ten years.","Camera bodies and lenses.","Twelve to twenty finished images at full bleed, one style per gallery.","Build $1,500 to $2,500, then $150 to $350 a month.","Packages with prices, travel area, turnaround time, booking calendar.","Fewest words wins. If the copy is longer than the gallery, cut the copy."
40,Videography,local-service,"Studio Mono, Signal","A video that got used and got results.","Camera and editing software.","Three embedded finished pieces, each under 90 seconds, with the result named.","Build $1,500 to $3,000, then $200 to $400 a month.","Packages, turnaround, area, past clients.","Video embeds destroy load time. Poster image first, load the player on click."
41,Wedding services,local-service,"Salon Quiet, Studio Mono","One day that goes right, run by someone who has done it fifty times.","Vendor lists and timelines.","Full galleries from three real weddings, plus dated availability.","Build $1,500 to $3,000, then $200 to $400 a month.","Dates available, packages with starting prices, area, deposit terms.","Starting price stops the wrong enquiries. Put it on the page."
42,Interior design,local-service,"Studio Mono, Salon Quiet","A room they want to sit in, delivered on a budget they agreed.","Software renders as the main proof.","Before and after of the same room, same angle, real photography.","Build $1,500 to $3,000, then $200 to $400 a month.","Project minimum, area, service tiers, timeline.","Renders read as fake now. Lead with photographed finished rooms."
43,Newsletter,content-brand,"Signal, Broadsheet","One email a week they open, on a subject they already care about.",The publishing schedule and the software stack.,"Three recent issues, the subscriber count, and the open rate if it is good.","Build $1,500 to $2,500, then $150 to $400 a month for issues and offer swaps.","Subscriber count, where the archive lives, who writes it, how often it lands.",A subscribe field below the fold collects nothing. It goes in the hero and again at the end.
44,YouTube channel,content-brand,Signal,"The next video worth thirty minutes, from someone who has done the thing.",Upload frequency and camera gear.,Real thumbnails and view counts from the last five videos.,"Build $1,500 to $2,500, then $150 to $400 a month for page and thumbnail work.","Subscriber count, upload rhythm, the one topic the channel owns.","Embed the latest video, never a channel trailer nobody finished. The thumbnails are the design."
45,Podcast,content-brand,"Signal, Field Note","An episode they finish on the drive, with a guest they wanted to hear.",Recording setup and episode numbers.,"Three named guests, working listen links, and a chart position if there is one.","Build $1,500 to $2,500, then $150 to $400 a month for episode pages.","Guest names, episode count, where to listen, release day.",Put every listen platform in the hero. A page with one Spotify link loses half the audience.
46,Essay publication,content-brand,Broadsheet,"An argument they have not read anywhere else, written to be finished.",Word counts and posting cadence.,"The five best pieces, by headline, with dates.","Build $1,500 to $2,500, then $150 to $400 a month for new pieces.","Archive depth, who writes it, what it covers in one line.",The headline of the best piece is the hero. Do not bury writing behind a card grid.
47,Research letter,content-brand,"Broadsheet, Ledger","A read on the market they will act on, before the crowd has it.",Data sources and method jargon.,Two past calls with the date made and what happened after.,"Build $1,500 to $3,000, then $200 to $500 a month for issues.","Who writes it, track record with dates, what it covers, publication schedule.",A dated call that turned out right beats every credential. Show the date.
48,Build in public log,content-brand,Field Note,"A record of what actually shipped, with the numbers attached.",Roadmaps and what is coming next quarter.,Dated log entries carrying real revenue or usage numbers.,"Build $1,500 to $2,000, then $150 to $300 a month for log upkeep.","What is being built, current numbers, how often it updates.",Undated entries kill it. Every entry carries a date or it is not a log.
49,Indie software brand,content-brand,"Field Note, Signal","A tool made by someone who uses it, still shipping this month.",Feature checklists against competitors.,Screenshots of the real product and a changelog with dates.,"Build $1,500 to $3,000, then $200 to $400 a month for release pages.","Last shipped date, who built it, what it costs, where the changelog is.",A product page with no price reads as abandoned. Put the number on it.
50,Course or community creator,content-brand,"Signal, Night Offer","A skill they can use this month, taught by someone who has been paid for it.",Hours of content and module counts.,Named student results with dates and numbers.,"Build $2,000 to $4,000, then $250 to $500 a month for launches.","Who teaches it, what it costs, what happens after they join, refund terms.",Selling the curriculum is the trap. Sell the first result and the date they get it.
51,Lead gen quote page,ad-landing,Direct Response,"A quote back today, from a page that asked four questions instead of twelve.",Company history and the team page.,Three results with real numbers that match what the ad promised.,"Build $1,500 to $2,500, then $150 to $400 a month for offer swaps and testing.","Response time, service area, licence and insurance, review count.","Every extra form field costs leads. Four fields, then the call does the rest."
52,Local services ad page,ad-landing,"Direct Response, Local Trust","The same fix the ad promised, from someone who answers the phone.",Multi service menus and an about page.,Job photos and a live review count from the ad's service area.,"Build $1,500 to $2,500, then $150 to $400 a month for offer swaps and testing.","Phone number, service radius, hours, licence, insured.",No nav bar. Every link off this page is a lead you paid for and lost.
53,Webinar or workshop signup,ad-landing,"Night Offer, Direct Response","One hour that teaches the thing, on a date they can put in the calendar.",Speaker biographies and the agenda.,Past attendance numbers and two named attendee results.,"Build $1,500 to $3,000, then $200 to $400 a month for each new date.","The date, the time with a timezone, who runs it, what it costs.",No date and no timezone converts badly. Put both above the fold.
54,High ticket application,ad-landing,Night Offer,"A call worth taking, with the price band known before they book it.",Call scripts and process diagrams.,Three named client results with numbers and dates.,"Build $2,500 to $5,000, then $300 to $600 a month for offer swaps and testing.","Who is behind it, the price band, who it is not for, what happens on the call.",Hiding the price band fills the calendar with the wrong calls. State it and filter early.
