Font Pairing ID,Pairing Name,Heading Font,Heading Weights,Body Font,Body Weights,Google Fonts Import,CSS Variables,Heading Scale,Body Size,Notes
F01,Archivo Stack,Archivo Black,400,Archivo,"400, 500, 700","@import url('https://fonts.googleapis.com/css2?family=Archivo+Black&family=Archivo:wght@400;500;700&display=swap');","--font-display: 'Archivo Black', 'Arial Black', sans-serif; --font-body: 'Archivo', system-ui, sans-serif;","h1 clamp(2.75rem, 7vw, 4.75rem)/0.98, h2 clamp(1.9rem, 3.6vw, 2.9rem)/1.08, h3 1.375rem/1.25","1.0625rem/1.6","Archivo Black is one weight only. Set headings in uppercase with -0.02em tracking and let the body do the rest."
F02,Fraunces Public,Fraunces,"400, 600",Public Sans,"400, 500, 700","@import url('https://fonts.googleapis.com/css2?family=Fraunces:opsz,wght@9..144,400;9..144,600&family=Public+Sans:wght@400;500;700&display=swap');","--font-display: 'Fraunces', Georgia, serif; --font-body: 'Public Sans', system-ui, sans-serif;","h1 clamp(2.4rem, 5.4vw, 3.9rem)/1.06, h2 clamp(1.7rem, 3vw, 2.4rem)/1.16, h3 1.3rem/1.3","1.0625rem/1.7","Fraunces has an optical size axis. Set opsz to 96 on the h1 and 24 on smaller headings so it stays readable."
F03,Bebas Chivo,Bebas Neue,400,Chivo,"400, 500, 700","@import url('https://fonts.googleapis.com/css2?family=Bebas+Neue&family=Chivo:wght@400;500;700&display=swap');","--font-display: 'Bebas Neue', 'Oswald', sans-serif; --font-body: 'Chivo', system-ui, sans-serif;","h1 clamp(3rem, 8vw, 5.5rem)/0.92, h2 clamp(2rem, 4vw, 3rem)/1.0, h3 1.5rem/1.15","1rem/1.65","Bebas is uppercase by nature. Never use it below 20px and never for a paragraph."
F04,Anton Hanken,Anton,400,Hanken Grotesk,"400, 500, 700","@import url('https://fonts.googleapis.com/css2?family=Anton&family=Hanken+Grotesk:wght@400;500;700&display=swap');","--font-display: 'Anton', 'Impact', sans-serif; --font-body: 'Hanken Grotesk', system-ui, sans-serif;","h1 clamp(3rem, 8.5vw, 6rem)/0.9, h2 clamp(2rem, 4.2vw, 3.2rem)/0.98, h3 1.5rem/1.15","1rem/1.6","Anton is loud by default, so keep the line count low. Two-line headings maximum."
F05,Cormorant Karla,Cormorant Garamond,"400, 600",Karla,"400, 500, 700","@import url('https://fonts.googleapis.com/css2?family=Cormorant+Garamond:wght@400;600&family=Karla:wght@400;500;700&display=swap');","--font-display: 'Cormorant Garamond', Georgia, serif; --font-body: 'Karla', system-ui, sans-serif;","h1 clamp(2.6rem, 6vw, 4.25rem)/1.05, h2 clamp(1.8rem, 3.2vw, 2.5rem)/1.15, h3 1.35rem/1.3","1rem/1.75","Cormorant is thin at small sizes. Never set it under 28px and never in Muted grey."
F06,Playfair Lora,Playfair Display,"500, 700",Lora,"400, 500, 600","@import url('https://fonts.googleapis.com/css2?family=Playfair+Display:wght@500;700&family=Lora:wght@400;500;600&display=swap');","--font-display: 'Playfair Display', Georgia, serif; --font-body: 'Lora', Georgia, serif;","h1 clamp(2.5rem, 5.6vw, 4rem)/1.04, h2 clamp(1.8rem, 3.2vw, 2.5rem)/1.14, h3 1.3rem/1.3","1.0625rem/1.7","Serif on serif works here because the sizes are far apart. Keep the menu itself in Lora at 17px minimum."
F07,Source Plex,Source Serif 4,"400, 600",IBM Plex Sans,"400, 500, 600","@import url('https://fonts.googleapis.com/css2?family=Source+Serif+4:opsz,wght@8..60,400;8..60,600&family=IBM+Plex+Sans:wght@400;500;600&display=swap');","--font-display: 'Source Serif 4', Georgia, serif; --font-body: 'IBM Plex Sans', system-ui, sans-serif;","h1 clamp(2.3rem, 4.8vw, 3.4rem)/1.1, h2 clamp(1.6rem, 2.8vw, 2.1rem)/1.2, h3 1.25rem/1.35","1rem/1.7","Conservative on purpose. Numbers in pricing tables get IBM Plex Sans with tabular figures."
F08,Bitter Work,Bitter,"600, 700",Work Sans,"400, 500, 600","@import url('https://fonts.googleapis.com/css2?family=Bitter:wght@600;700&family=Work+Sans:wght@400;500;600&display=swap');","--font-display: 'Bitter', Georgia, serif; --font-body: 'Work Sans', system-ui, sans-serif;","h1 clamp(2.4rem, 5.2vw, 3.6rem)/1.06, h2 clamp(1.7rem, 3vw, 2.3rem)/1.18, h3 1.3rem/1.3","1.0625rem/1.68","Bitter is a slab, so it holds up over a photo. Put a solid Ink scrim behind it, never a blur."
F09,Newsreader Figtree,Newsreader,"400, 600",Figtree,"400, 500, 600","@import url('https://fonts.googleapis.com/css2?family=Newsreader:opsz,wght@6..72,400;6..72,600&family=Figtree:wght@400;500;600&display=swap');","--font-display: 'Newsreader', Georgia, serif; --font-body: 'Figtree', system-ui, sans-serif;","h1 clamp(2.5rem, 5.6vw, 4rem)/1.04, h2 clamp(1.75rem, 3vw, 2.4rem)/1.16, h3 1.3rem/1.3","1.0625rem/1.7","Newsreader italic is the strongest thing in this pairing. Use it once, on the pull quote."
F10,Instrument Pair,Instrument Serif,400,Instrument Sans,"400, 500, 600","@import url('https://fonts.googleapis.com/css2?family=Instrument+Sans:wght@400;500;600&family=Instrument+Serif&display=swap');","--font-display: 'Instrument Serif', Georgia, serif; --font-body: 'Instrument Sans', system-ui, sans-serif;","h1 clamp(3rem, 7vw, 5rem)/0.98, h2 clamp(2rem, 3.6vw, 2.8rem)/1.1, h3 1.35rem/1.28","1rem/1.65","Instrument Serif has one weight. Get contrast from size, not from bold."
